"height","weight","age","gender"
183.709584471467,88.0144806339774,33,"Male"
164.353018286039,85.6712663075159,53,"Male"
173.631284113373,54.9518702974023,41,"Male"
176.32862604961,97.7272285250912,55,"Female"
174.04268323141,59.9983988686327,38,"Female"
168.938754839085,71.582707186841,37,"Female"
185.115219974389,63.6661617719672,28,"Female"
169.053409615869,68.1647474206754,50,"Male"
190.18423713877,72.8228955175225,31,"Female"
169.372859009476,71.7874143699551,45,"Male"
183.048696542235,69.623611736989,50,"Male"
192.866453927011,71.6210909191305,46,"Female"
156.111392988877,62.7184714623,53,"Male"
167.212112331826,62.4367430396814,62,"Male"
168.666786636063,45.0835138012778,49,"Female"
176.359503980701,64.2649940968927,55,"Female"
167.157470785839,62.310246131833,39,"Male"
143.435445790952,110.528365005172,61,"Male"
145.595330714245,49.5682565321542,24,"Male"
183.201133457302,72.0588432783791,61,"Female"
166.933614059215,47.5956239902556,22,"Female"
152.1869156602,47.943463878448,48,"Male"
168.280826442404,71.8705357929551,49,"Female"
182.146746991726,55.0504129767394,35,"Male"
188.95193461265,69.9726607854294,56,"Female"
165.695308683938,63.5761167786128,30,"Male"
167.427306172311,60.7949259032576,47,"Male"
152.368369148052,39.6298323187134,19,"Female"
174.600973548313,51.6287807446002,45,"Male"
163.600051240399,72.6927466167691,20,"Female"
174.554501232412,78.514308916353,50,"Female"
177.048373372288,62.6068396966979,64,"Male"
180.351035219699,70.0009432609803,46,"Male"
163.910736245928,86.8433446506995,37,"Female"
175.04955123298,91.5978361446429,60,"Male"
152.829913209267,53.5432934739127,26,"Female"
162.155409916205,68.2402065962473,27,"Female"
161.490924058235,88.0224760137955,24,"Female"
145.857923500534,62.9540562915055,45,"Female"
170.361226068923,69.2129577259151,35,"Female"
172.059986002003,68.7083905264437,42,"Male"
166.389427014513,56.6848147314035,61,"Male"
177.581632356995,63.3297399267289,27,"Male"
162.732951729234,69.5583268136764,26,"Female"
156.317189555807,63.7919672641311,36,"Male"
174.328180258887,86.700790350523,32,"Male"
161.886068238133,62.7851073751903,63,"Female"
184.441012617213,63.5024645109891,20,"Female"
165.685537973867,80.4529386482815,39,"Female"
176.556478834022,54.1544738024364,37,"Male"
173.219252652039,69.3895228727318,59,"Female"
162.161610591196,46.7268276647862,51,"Male"
185.75727519792,87.5075432385352,40,"Male"
176.428993057173,65.8953144793888,34,"Female"
170.897606465996,62.9823201299162,35,"Male"
172.765507472915,51.4262150802068,36,"Male"
176.792888160553,69.8835694933401,63,"Male"
170.898328865791,57.9957673307251,34,"Female"
140.069099168471,61.9976150507434,47,"Male"
172.848829535307,89.3151286837688,27,"Female"
166.32765357259,67.3671119463681,54,"Female"
171.852305648656,53.9232642377399,62,"Male"
175.818237273655,72.4481032370107,27,"Male"
183.997368272927,64.5589237655808,51,"Male"
162.727079405255,78.8502032198101,21,"Female"
183.025426320441,91.4863289159648,42,"Female"
173.358481197521,55.1096123333576,43,"Female"
180.385060986976,76.8197544637042,56,"Male"
179.207285682906,71.2734708801773,50,"Male"
177.208781628669,83.4334837339682,63,"Male"
159.568810614321,66.553327915806,39,"Male"
169.098136133893,82.5492860269092,61,"Male"
176.235181619995,43.8241620799496,36,"Female"
160.464766422277,95.3418838197006,23,"Female"
164.571711854261,82.9716696777787,61,"Female"
175.809964976817,67.7383601667138,42,"Female"
177.681787378346,48.2648930479125,47,"Female"
174.637675885402,79.6451305006297,59,"Male"
161.142237025903,77.2479079572215,56,"Female"
159.002191013521,69.9046656036792,42,"Female"
185.127070098049,72.2718383929364,19,"Male"
172.57921437532,61.2383654447529,55,"Male"
170.884402291596,75.5321009894536,26,"Female"
168.791034624609,74.4198150957927,28,"Female"
158.056711048395,65.8111093998614,23,"Female"
176.119968980404,49.9564501766027,48,"Female"
167.828601542535,80.5112322766005,22,"Male"
168.172432936681,78.3129493341105,31,"Male"
179.333463285712,57.4554011079788,59,"Female"
178.217731105082,46.0811775699064,64,"Female"
183.921163759343,73.0743787088145,18,"Male"
165.238260769453,64.8236803304066,58,"Male"
176.503485607263,73.7891755504668,27,"Male"
183.9111045639,50.5899630177317,29,"Female"
158.892111205521,55.6124433342946,39,"Male"
161.392074131222,86.2866228051985,18,"Female"
158.682613191462,76.0566235707357,60,"Male"
155.407860004976,78.7973130507895,21,"Male"
170.799825532412,97.2284266923093,20,"Male"
176.532043396492,71.9323214290358,55,"Male"
